deltaX,deltaY,deltaTheta,Velocity,SteeringAngle,Time
6.784021,8.477945,2.487737,9.481483,0.280065,1.314069
-2.297378,2.968387,1.441671,9.900736,0.700253,1.068803
6.874093,0.787061,0.716285,6.700217,0.065658,1.034894
0.572639,6.040012,2.992501,8.039657,0.580817,1.119058
8.176655,-2.381338,1.360954,5.982964,-0.130595,1.442669
-1.429226,-3.588678,0.315406,6.593697,-0.766057,1.229514
0.530454,-6.516956,0.065475,6.643187,-0.547563,1.470956
2.455664,8.081822,1.732971,9.593926,0.425423,1.173954
1.545420,-5.508058,1.273884,6.532649,-0.592530,1.179897
-0.179894,-5.815949,2.502482,6.855731,-0.602030,1.360091
6.830836,9.908094,2.935545,9.751225,0.267097,1.449874
3.932286,6.474710,0.157108,7.952284,0.423940,1.142378
1.637088,4.528773,1.406967,5.039004,0.663140,1.243734
8.922061,2.761688,1.886094,6.640170,0.125959,1.427894
5.631736,-2.783183,0.257649,5.843523,-0.274973,1.113719
9.444444,0.777393,0.516020,7.203061,0.034603,1.317085
7.137052,4.247056,0.231144,6.069649,0.241479,1.436292
-2.208214,2.098846,2.397550,8.197847,0.735309,1.284686
6.270286,0.898522,0.894282,6.285058,0.089326,1.011251
5.569779,0.506852,0.570202,5.004678,0.064716,1.119049
-1.270250,4.204956,2.288109,7.239970,0.716954,1.181503
-1.824344,-3.176763,2.562989,6.930662,-0.758125,1.275189
-1.084182,4.299791,1.996766,8.165796,0.718632,1.018036
2.310231,5.437593,1.062122,6.144786,0.557249,1.221235
-0.297272,-0.018915,2.651194,9.947848,-0.706080,1.451447
0.405403,-4.967306,0.066837,6.772057,-0.674713,1.099725
9.514602,1.440199,0.943903,7.094410,0.062120,1.361533
12.649462,-0.379093,2.953348,8.790356,-0.009478,1.439877
-1.956507,-0.975740,2.017070,9.748490,-0.684744,1.346244
1.640749,-4.766620,1.638132,5.295499,-0.643686,1.247683
5.482971,-8.679744,3.095126,8.452420,-0.318216,1.447293
2.039490,-6.190466,1.554844,7.021223,-0.527752,1.224204
-2.708542,3.268705,1.650916,8.906899,0.627657,1.400569
-1.667016,-0.614944,1.330839,9.738744,-0.661892,1.469847
8.629893,-1.181217,2.286892,7.284547,-0.062205,1.199426
7.787234,2.779490,2.154091,6.390931,0.161201,1.319468
4.472254,5.512063,2.445216,7.969143,0.412489,1.019882
5.352718,-2.598531,0.301919,5.768534,-0.285572,1.067449
1.831389,-7.323017,1.094933,9.859475,-0.474851,1.046261
8.872596,-4.079288,0.433899,6.811593,-0.169474,1.479003
6.983554,-2.386684,1.072456,7.435943,-0.173525,1.010662
9.116481,-5.506401,2.869159,9.896983,-0.191800,1.130959
6.568588,-0.235355,2.916560,5.259318,-0.021798,1.250012
0.870401,5.719075,2.637447,7.448549,0.599611,1.115359
0.729384,5.993461,2.825519,7.857348,0.581727,1.122182
5.010308,-4.255253,1.859274,6.103558,-0.375256,1.171402
7.898341,3.486300,2.611771,8.171987,0.184940,1.087529
1.614386,-6.715835,1.037433,7.281852,-0.512833,1.302267
9.156620,5.097981,0.050350,9.860037,0.183563,1.110022
2.662621,5.755285,0.863822,5.519652,0.519930,1.439895
-2.605686,2.870239,1.934718,8.457151,0.652377,1.428815
